City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Bapatla,IN,86.61,overcast clouds,15.9,80.4667,Kumar Hotel
466,Morgan City,US,87.03,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
467,Wewak,PG,78.55,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
469,Vermilion,US,84.79,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
470,Daru,PG,78.35,clear sky,-9.0763,143.2092,Daru Lodge
471,Kendari,ID,75.52,overcast clouds,-3.945,122.4989,Hotel Wixel
472,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
473,Barra,BR,88.2,scattered clouds,-11.0894,-43.1417,Motel Albatroz
482,Santa Cruz Cabralia,BR,75.43,clear sky,-16.2781,-39.0247,Puerto Princesa Inn
483,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
486,Vilhena,BR,75.42,clear sky,-12.7406,-60.1458,Hotel Mirage
489,Rolla,US,85.21,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
493,Neiafu,TO,78.82,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
495,Daman,IN,82.89,few clouds,20.4167,72.85,Silver Sands Beach Resort
496,Kupang,ID,76.5,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
500,Adiake,CI,80.44,light rain,5.2863,-3.304,Complexe Le Crystal
503,Caravelas,BR,75.61,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
505,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
506,Lorengau,PG,80.69,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
508,Colon,PA,79.88,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
512,Jalu,LY,80.74,clear sky,29.0331,21.5482,صاحبة الفخامة
513,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
517,Benavente,ES,86.5,overcast clouds,42.0025,-5.6783,Parador de Benavente
523,Banda Aceh,ID,80.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
525,Roebourne,AU,76.64,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
530,Shelburne,CA,79.25,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
533,Ilebo,CD,75.7,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
534,Sechura,PE,77.18,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
541,Broome,US,77.09,broken clouds,42.2506,-75.833,Chenango Valley State Park
544,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
545,Hamilton,US,85.73,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
549,Cove,BJ,80.04,moderate rain,7.221,2.3402,TG Hôtel
552,Albion,US,82.36,scattered clouds,42.2431,-84.753,Days Inn by Wyndham Albion
554,Lasem,ID,78.39,light rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
557,Pandan,PH,78.57,overcast clouds,14.0453,124.1694,Bonifacio Lodge
560,Asyut,EG,89.78,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
561,Kampot,KH,84.25,light rain,10.6167,104.1833,Two Moons Hotel
564,Kaduna,NG,88.29,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
566,Batavia,US,80.51,broken clouds,41.85,-88.3126,Comfort Inn & Suites Geneva- West Chicago
568,Phra Phutthabat,TH,80.53,moderate rain,14.7253,100.7954,Pruksa Siri View
571,Nishihara,JP,76.68,moderate rain,26.1842,127.7558,Minshuku Agaihama
573,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
576,Mitsamiouli,KM,80.37,broken clouds,-11.3847,43.2844,Foyer ADM
578,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
580,Manfredonia,IT,75.67,clear sky,41.6259,15.9094,Regiohotel Manfredi
581,Bac Lieu,VN,81.75,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
584,Plaridel,PH,78.48,light rain,14.8872,120.8572,St. Agatha Resort
585,Alta Floresta,BR,85.82,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
589,Kota Bahru,MY,82.35,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
591,Caucaia,BR,85.95,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
595,Hami,CN,75.61,scattered clouds,42.8,93.45,Laoyutang Resort
597,Mantua,IT,87.04,clear sky,45.1667,10.7833,Hotel la Favorita
