City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,Khandyga,62.6667,135.6,38.52,94,100,4.41,RU,2022-05-19 00:51:53
88,Milkovo,54.7167,158.6167,54.32,59,99,3.33,RU,2022-05-19 00:51:54
89,La Ronge,55.1001,-105.2842,59.25,26,75,12.66,CA,2022-05-19 00:51:54
90,San Cristobal,7.7669,-72.225,69.98,95,100,3.67,VE,2022-05-19 00:51:54
91,Arlit,18.7369,7.3853,84.65,14,0,8.46,NE,2022-05-19 00:51:55
92,Nikolskoye,59.7035,30.7861,44.8,95,96,3.42,RU,2022-05-19 00:52:55
93,Busselton,-33.65,115.3333,64.31,79,72,7.7,AU,2022-05-19 00:52:56
94,Port Elizabeth,-33.918,25.5701,68.31,64,0,9.22,ZA,2022-05-19 00:52:56
95,Mananara,-16.1667,49.7667,69.15,91,79,6.73,MG,2022-05-19 00:52:57
96,Geraldton,-28.7667,114.6,64.81,88,75,9.22,AU,2022-05-19 00:52:57
97,Roma,43.2128,-75.4557,55.72,60,0,3.44,US,2022-05-19 00:52:57
98,Klaksvik,62.2266,-6.589,47.32,88,88,21.34,FO,2022-05-19 00:52:58
99,Thompson,55.7435,-97.8558,48.36,29,40,10.36,CA,2022-05-19 00:52:58
100,Rovaniemi,66.5,25.7167,31.41,69,0,8.05,FI,2022-05-19 00:52:59
101,Port Alfred,-33.5906,26.891,63.18,74,91,8.21,ZA,2022-05-19 00:52:59
102,Saint George,37.1041,-113.5841,96.64,11,0,9.22,US,2022-05-19 00:49:41
103,Hilo,19.7297,-155.09,94.28,76,0,16.11,US,2022-05-19 00:50:37
104,Iqaluit,63.7506,-68.5145,26.33,86,100,8.05,CA,2022-05-19 00:53:00
105,Kudahuvadhoo,2.6708,72.8944,83.23,76,100,16.2,MV,2022-05-19 00:53:01
106,Midsalip,8.0,123.2667,76.35,74,87,2.21,PH,2022-05-19 00:53:01
107,Cayenne,4.9333,-52.3333,74.08,1,100,3.44,GF,2022-05-19 00:50:21
108,Ponta Do Sol,32.6667,-17.1,68.72,80,81,3.47,PT,2022-05-19 00:53:02
109,Cape Town,-33.9258,18.4232,56.26,93,40,4.61,ZA,2022-05-19 00:50:58
110,Puerto Ayora,-0.7393,-90.3518,73.54,96,99,1.99,EC,2022-05-19 00:53:03
111,Bambous Virieux,-20.3428,57.7575,75.45,69,20,6.91,MU,2022-05-19 00:53:03
112,Fushan,37.4958,121.2581,73.26,36,100,3.36,CN,2022-05-19 00:53:03
113,Batticaloa,7.7102,81.6924,79.75,75,29,6.08,LK,2022-05-19 00:53:04
114,Los Llanos De Aridane,28.6585,-17.9182,64.15,88,0,5.75,ES,2022-05-19 00:53:04
115,San Patricio,28.017,-97.5169,84.92,67,73,16.73,US,2022-05-19 00:53:05
116,Kropotkin,45.4375,40.5756,50.83,96,100,9.82,RU,2022-05-19 00:53:05
117,Longyearbyen,78.2186,15.6401,28.24,80,75,4.61,SJ,2022-05-19 00:53:09
118,Vanimo,-2.6741,141.3028,86.25,67,30,5.55,PG,2022-05-19 00:53:09
119,Leshukonskoye,64.8989,45.7622,33.49,93,99,3.22,RU,2022-05-19 00:53:10
120,Eenhana,-17.4667,16.3333,55.92,47,0,6.69,NA,2022-05-19 00:53:10
121,Hami,42.8,93.45,79.02,17,9,5.75,CN,2022-05-19 00:53:11
122,Barentu,15.1139,37.5928,79.84,21,100,4.9,ER,2022-05-19 00:53:12
123,Andenes,69.3143,16.1194,35.58,87,8,8.05,NO,2022-05-19 00:53:12
124,Amsterdam,52.374,4.8897,63.88,80,0,5.75,NL,2022-05-19 00:49:04
125,Constitucion,-35.3333,-72.4167,51.58,89,100,8.99,CL,2022-05-19 00:53:13
126,Luanda,-8.8368,13.2343,72.81,90,0,6.71,AO,2022-05-19 00:52:18
127,Sampit,-2.5333,112.95,81.5,82,14,2.75,ID,2022-05-19 00:53:13
128,Mount Isa,-20.7333,139.5,78.57,44,2,10.36,AU,2022-05-19 00:53:14
129,Husavik,66.0449,-17.3389,41.49,97,100,6.06,IS,2022-05-19 00:53:14
130,Kloulklubed,7.0419,134.2556,73.9,81,100,14.12,PW,2022-05-19 00:53:14
131,Brookings,44.3114,-96.7984,73.4,40,0,14.97,US,2022-05-19 00:53:15
132,Dingle,10.9995,122.6711,84.63,74,59,8.95,PH,2022-05-19 00:53:15
133,Mordovo,52.0834,40.77,40.98,93,2,8.3,RU,2022-05-19 00:53:16
134,Okha,53.5739,142.9478,36.9,91,87,14.72,RU,2022-05-19 00:53:16
135,Tuatapere,-46.1333,167.6833,52.72,71,83,15.39,NZ,2022-05-19 00:54:17
136,Flinders,-34.5833,150.8552,63.37,54,0,5.01,AU,2022-05-19 00:54:17
137,College,64.8569,-147.8028,61.12,35,75,3.44,US,2022-05-19 00:54:18
138,Pallasovka,50.05,46.8833,50.9,88,100,5.59,RU,2022-05-19 00:54:18
139,North Bend,43.4065,-124.2243,56.91,91,100,9.22,US,2022-05-19 00:52:23
140,Zhangye,38.9342,100.4517,68.79,22,19,2.48,CN,2022-05-19 00:54:19
141,Namibe,-15.1961,12.1522,68.95,76,0,9.48,AO,2022-05-19 00:54:19
142,Muros,42.7762,-9.0603,55.09,93,98,3.13,ES,2022-05-19 00:54:20
143,Broome,42.2506,-75.833,58.01,67,100,3.8,US,2022-05-19 00:54:20
144,Aparecida Do Taboado,-20.0867,-51.0936,51.84,65,100,9.04,BR,2022-05-19 00:54:21
145,Petropavlovsk-Kamchatskiy,53.0452,158.6483,59.59,48,75,6.71,RU,2022-05-19 00:54:21
146,Karratha,-20.7377,116.8463,75.49,71,3,9.35,AU,2022-05-19 00:54:22
147,Muravlenko,63.7898,74.523,53.19,81,65,10.38,RU,2022-05-19 00:54:22
148,Marystown,47.1666,-55.1483,46.85,100,1,7.81,CA,2022-05-19 00:54:22
149,Grindavik,63.8424,-22.4338,48.15,93,100,4.61,IS,2022-05-19 00:54:23
150,Le Port,-20.9373,55.2919,71.56,73,0,4.52,RE,2022-05-19 00:54:23
151,Fort-Shevchenko,44.5086,50.263,62.46,55,12,9.44,KZ,2022-05-19 00:54:24
152,Praia Da Vitoria,38.7333,-27.0667,62.85,94,20,14.25,PT,2022-05-19 00:54:24
153,Yulara,-25.2406,130.9889,61.75,50,100,12.17,AU,2022-05-19 00:54:25
154,Ayan,56.45,138.1667,35.01,87,100,1.36,RU,2022-05-19 00:54:25
155,Clyde River,70.4692,-68.5914,25.03,93,100,5.75,CA,2022-05-19 00:54:25
156,Manggar,-2.8833,108.2667,84.24,72,22,4.25,ID,2022-05-19 00:54:26
157,Nagato,34.3833,131.2,68.32,57,100,4.74,JP,2022-05-19 00:54:26
158,Severo-Kurilsk,50.6789,156.125,48.16,80,100,5.99,RU,2022-05-19 00:54:27
159,Provideniya,64.3833,-173.3,33.91,93,100,6.71,RU,2022-05-19 00:54:27
160,Guerrero Negro,27.9769,-114.0611,63.5,67,0,17.09,MX,2022-05-19 00:54:27
161,Neuquen,-38.9516,-68.0591,44.49,70,0,2.3,AR,2022-05-19 00:54:28
162,San Jeronimo,-11.9472,-75.2829,47.35,92,100,5.23,PE,2022-05-19 00:54:28
163,Cap Malheureux,-19.9842,57.6142,72.46,74,8,3.0,MU,2022-05-19 00:54:29
164,Dhilwan,31.5169,75.35,85.62,22,0,6.55,IN,2022-05-19 00:54:29
165,Kautokeino,69.0125,23.0412,16.65,94,10,2.35,NO,2022-05-19 00:54:30
166,Grand Gaube,-20.0064,57.6608,75.6,74,9,3.0,MU,2022-05-19 00:54:30
167,Pontivy,48.0,-3.0,58.28,94,76,4.14,FR,2022-05-19 00:54:30
168,Mehriz,31.5917,54.4318,66.7,16,0,3.38,IR,2022-05-19 00:54:31
169,Macau,22.2006,113.5461,79.86,65,40,4.61,MO,2022-05-19 00:54:31
170,Vitim,59.4511,112.5578,61.84,66,6,12.77,RU,2022-05-19 00:54:32
171,Taoudenni,22.6783,-3.9836,91.29,7,100,9.31,ML,2022-05-19 00:54:32
172,Sirjan,29.452,55.6814,68.68,16,0,6.4,IR,2022-05-19 00:54:33
173,Lumphat,13.4878,106.9816,77.7,92,98,0.49,KH,2022-05-19 00:54:33
174,Warman,52.3168,-106.5679,57.11,50,100,13.8,CA,2022-05-19 00:54:34
175,Smithers,54.7804,-127.1743,52.12,58,100,5.75,CA,2022-05-19 00:52:29
176,Muisne,0.6,-80.0333,76.78,86,100,7.56,EC,2022-05-19 00:54:34
177,Ust-Kuyga,70.0167,135.6,31.82,98,99,3.91,RU,2022-05-19 00:54:35
178,Barra Dos Coqueiros,-10.9089,-37.0386,82.42,83,75,9.22,BR,2022-05-19 00:54:35
179,Kafanchan,9.5833,8.3,72.7,78,100,2.84,NG,2022-05-19 00:54:35
180,Lauro Muller,-28.3928,-49.3967,53.31,84,35,6.78,BR,2022-05-19 00:51:19
181,Longhua,23.6137,114.1919,77.32,69,100,0.81,CN,2022-05-19 00:55:36
182,Bandundu,-3.3167,17.3667,73.65,91,100,2.35,CD,2022-05-19 00:55:37
183,Nenjiang,49.1833,125.2167,67.28,35,26,11.45,CN,2022-05-19 00:55:37
184,Harper,4.375,-7.7169,78.06,86,100,4.94,LR,2022-05-19 00:55:37
185,Fairbanks,64.8378,-147.7164,61.14,34,75,3.44,US,2022-05-19 00:55:38
186,Orbetello,42.4408,11.2196,62.91,63,0,6.6,IT,2022-05-19 00:55:38
187,Carnarvon,-24.8667,113.6333,70.27,64,53,10.07,AU,2022-05-19 00:55:39
188,Lermontov,44.1067,42.9733,44.02,87,0,6.71,RU,2022-05-19 00:55:39
189,Saravan,39.7196,45.6483,46.44,80,1,4.14,AM,2022-05-19 00:55:40
190,Tagusao,9.1924,117.8141,84.33,72,89,4.29,PH,2022-05-19 00:55:40
